Geracoes,Tempo_execucao_s,Desperdicio_m,Repeticao,Num_Bins,Melhor_Solucao
100,3.511761426925659,108.49999999999993,1,152,"[['M', 'P', 'M'], ['GG', 'G'], ['G', 'G'], ['G', 'G'], ['GG', 'P'], ['M', 'P', 'P'], ['M', 'P', 'G'], ['M', 'G', 'M'], ['GG', 'GG'], ['G', 'M', 'M'], ['M', 'G'], ['GG', 'P'], ['M', 'M', 'G'], ['M', 'GG'], ['GG', 'G'], ['M', 'M', 'G'], ['P', 'M', 'M'], ['G', 'M', 'M'], ['GG', 'GG'], ['GG', 'GG'], ['GG', 'G'], ['GG', 'G'], ['M', 'G', 'P'], ['M', 'P', 'G'], ['M', 'GG'], ['M', 'GG'], ['M', 'G', 'M'], ['M', 'GG'], ['GG', 'GG'], ['M', 'M', 'P'], ['G', 'M', 'M'], ['GG', 'G'], ['G', 'G'], ['GG', 'M'], ['M', 'M', 'G'], ['G', 'G'], ['M', 'M', 'G'], ['M', 'P', 'M'], ['G', 'G'], ['M', 'G'], ['G', 'G'], ['G', 'GG'], ['P', 'M', 'M'], ['M', 'G'], ['GG', 'G'], ['M', 'P', 'G'], ['GG', 'GG'], ['M', 'M', 'M'], ['M', 'G', 'M'], ['M', 'P', 'M'], ['P', 'G', 'M'], ['GG', 'GG'], ['P', 'GG'], ['M', 'G', 'M'], ['M', 'G'], ['G', 'GG'], ['GG', 'GG'], ['M', 'GG'], ['GG', 'M'], ['P', 'M', 'M'], ['G', 'M'], ['GG', 'GG'], ['M', 'GG'], ['M', 'P', 'G'], ['GG', 'G'], ['G', 'P', 'P'], ['GG', 'G'], ['G', 'G'], ['G', 'M', 'M'], ['P', 'P', 'M'], ['G', 'GG'], ['GG', 'M'], ['M', 'M', 'G'], ['G', 'M'], ['G', 'G'], ['M', 'GG'], ['P', 'M', 'G'], ['GG', 'GG'], ['P', 'G', 'P'], ['G', 'M', 'M'], ['M', 'G', 'M'], ['M', 'M'], ['GG', 'M'], ['M', 'G', 'P'], ['M', 'GG'], ['M', 'M'], ['GG', 'GG'], ['M', 'P', 'M'], ['G', 'G'], ['M', 'GG'], ['P', 'G', 'P'], ['M', 'GG'], ['M', 'M', 'G'], ['G', 'GG'], ['G', 'M', 'P'], ['M', 'M', 'M'], ['G', 'M', 'M'], ['P', 'GG'], ['P', 'G'], ['G', 'G'], ['M', 'M', 'P'], ['M', 'GG'], ['M', 'M', 'P'], ['M', 'G'], ['G', 'M', 'M'], ['M', 'M', 'M'], ['G', 'M', 'M'], ['GG', 'M'], ['P', 'P', 'M'], ['G', 'M', 'M'], ['G', 'M'], ['G', 'GG'], ['GG', 'G'], ['G', 'G'], ['GG', 'GG'], ['G', 'M', 'M'], ['M', 'G'], ['G', 'M', 'M'], ['GG', 'GG'], ['G', 'M', 'M'], ['G', 'M', 'M'], ['GG', 'M'], ['G', 'GG'], ['M', 'M', 'M'], ['M', 'P', 'G'], ['GG', 'M'], ['GG', 'GG'], ['GG', 'M'], ['P', 'M', 'G'], ['G', 'P', 'M'], ['G', 'P'], ['G', 'M', 'P'], ['P', 'G'], ['G', 'P'], ['GG', 'GG'], ['M', 'G'], ['G', 'P', 'M'], ['G', 'M', 'M'], ['GG', 'M'], ['M', 'M', 'P'], ['P', 'M', 'G'], ['P', 'M'], ['GG', 'M'], ['G', 'G'], ['GG', 'P'], ['M', 'G', 'M'], ['M', 'M', 'M'], ['M', 'M', 'M'], ['M', 'M', 'G'], ['M', 'M', 'P'], ['GG', 'P'], ['G', 'G']]"
100,3.682563543319702,108.49999999999994,2,152,"[['M', 'G', 'P'], ['M', 'P', 'M'], ['M', 'G', 'M'], ['G', 'GG'], ['M', 'M', 'G'], ['GG', 'GG'], ['G', 'M', 'M'], ['GG', 'G'], ['G', 'P', 'M'], ['GG', 'G'], ['P', 'M', 'M'], ['M', 'M', 'G'], ['M', 'GG'], ['G', 'P'], ['GG', 'P'], ['GG', 'GG'], ['G', 'M'], ['G', 'M', 'M'], ['M', 'G'], ['G', 'GG'], ['M', 'G'], ['GG', 'GG'], ['G', 'M', 'M'], ['GG', 'G'], ['M', 'M', 'P'], ['M', 'P', 'P'], ['G', 'P'], ['GG', 'G'], ['P', 'P'], ['GG', 'GG'], ['G', 'P', 'M'], ['GG', 'M'], ['G', 'M', 'M'], ['M', 'P', 'P'], ['M', 'M', 'G'], ['GG', 'GG'], ['P', 'GG'], ['M', 'G'], ['G', 'M'], ['G', 'M', 'M'], ['G', 'M'], ['G', 'M', 'M'], ['M', 'M', 'P'], ['M', 'G', 'M'], ['GG', 'GG'], ['M', 'P', 'G'], ['M', 'M', 'G'], ['M', 'G'], ['GG', 'M'], ['M', 'G'], ['G', 'G'], ['P', 'GG'], ['M', 'M', 'M'], ['G', 'M', 'M'], ['G', 'M', 'P'], ['P', 'M', 'M'], ['G', 'M', 'P'], ['G', 'M'], ['G', 'GG'], ['M', 'G'], ['G', 'M', 'M'], ['P', 'M', 'M'], ['GG', 'G'], ['G', 'G'], ['GG', 'M'], ['GG', 'G'], ['M', 'P', 'G'], ['G', 'GG'], ['G', 'P', 'M'], ['G', 'G'], ['GG', 'M'], ['GG', 'GG'], ['GG', 'GG'], ['GG', 'M'], ['GG', 'GG'], ['M', 'M', 'P'], ['GG', 'M'], ['P', 'M', 'G'], ['M', 'M', 'M'], ['G', 'M', 'M'], ['G', 'M', 'P'], ['P', 'G'], ['G', 'M', 'M'], ['M', 'GG'], ['M', 'G', 'M'], ['M', 'G', 'P'], ['G', 'G'], ['M', 'G', 'M'], ['M', 'M', 'G'], ['GG', 'GG'], ['G', 'P', 'M'], ['G', 'M'], ['G', 'M', 'M'], ['M', 'M', 'G'], ['G', 'G'], ['M', 'M', 'G'], ['P', 'P', 'P'], ['M', 'G', 'M'], ['M', 'G', 'M'], ['GG', 'GG'], ['GG', 'GG'], ['P', 'GG'], ['G', 'GG'], ['M', 'G'], ['G', 'G'], ['G', 'M'], ['G', 'M', 'P'], ['M', 'P'], ['GG', 'M'], ['G', 'P', 'M'], ['G', 'M', 'M'], ['G', 'P'], ['GG', 'M'], ['GG', 'GG'], ['G', 'P', 'M'], ['M', 'GG'], ['M', 'M', 'G'], ['G', 'M', 'M'], ['M', 'GG'], ['M', 'GG'], ['M', 'GG'], ['M', 'M'], ['GG', 'GG'], ['M', 'M', 'G'], ['GG', 'M'], ['G', 'M'], ['GG', 'GG'], ['M', 'GG'], ['P', 'M', 'G'], ['M', 'P', 'P'], ['G', 'M'], ['G', 'P', 'M'], ['G', 'G'], ['M', 'G', 'M'], ['GG', 'P'], ['GG', 'M'], ['M', 'G', 'M'], ['G', 'GG'], ['M', 'GG'], ['GG', 'M'], ['M', 'M', 'M'], ['M', 'M', 'M'], ['G', 'P'], ['G', 'M', 'P'], ['GG', 'M'], ['G', 'M', 'M'], ['M', 'P', 'M'], ['G', 'GG'], ['G', 'G'], ['P', 'P', 'G'], ['G', 'M'], ['GG', 'GG']]"
500,18.979291200637817,98.49999999999996,1,150,"[['M', 'P', 'G'], ['G', 'GG'], ['GG', 'G'], ['M', 'P'], ['GG', 'M'], ['P', 'M', 'G'], ['M', 'M', 'P'], ['M', 'G', 'M'], ['M', 'M', 'G'], ['G', 'GG'], ['G', 'M'], ['G', 'GG'], ['P', 'GG'], ['P', 'G'], ['G', 'G'], ['GG', 'M'], ['M', 'M', 'G'], ['GG', 'G'], ['M', 'M', 'G'], ['GG', 'M'], ['M', 'M', 'M'], ['GG', 'GG'], ['GG', 'G'], ['M', 'G', 'M'], ['G', 'M', 'P'], ['M', 'M', 'G'], ['P', 'GG'], ['M', 'G', 'M'], ['M', 'G', 'P'], ['M', 'P'], ['GG', 'G'], ['M', 'M', 'G'], ['GG', 'M'], ['G', 'GG'], ['M', 'M', 'P'], ['M', 'GG'], ['G', 'M', 'M'], ['G', 'M'], ['GG', 'GG'], ['GG', 'M'], ['M', 'M', 'G'], ['M', 'M', 'G'], ['M', 'G', 'M'], ['G', 'P', 'P'], ['G', 'M', 'M'], ['GG', 'M'], ['G', 'GG'], ['M', 'M', 'M'], ['GG', 'P'], ['GG', 'G'], ['G', 'M', 'M'], ['G', 'GG'], ['M', 'M', 'M'], ['GG', 'M'], ['P', 'M', 'G'], ['M', 'M', 'M'], ['P', 'G', 'M'], ['G', 'GG'], ['M', 'G'], ['G', 'P', 'P'], ['M', 'G', 'M'], ['GG', 'G'], ['M', 'G', 'M'], ['GG', 'GG'], ['G', 'M'], ['G', 'M', 'M'], ['G', 'GG'], ['G', 'GG'], ['GG', 'M'], ['G', 'P', 'P'], ['M', 'P', 'M'], ['M', 'GG'], ['M', 'G', 'M'], ['P', 'G', 'M'], ['P', 'M', 'G'], ['GG', 'GG'], ['GG', 'P'], ['M', 'G'], ['G', 'G'], ['G', 'G'], ['GG', 'GG'], ['P', 'M'], ['GG', 'G'], ['G', 'M', 'M'], ['G', 'GG'], ['G', 'M', 'M'], ['G', 'GG'], ['M', 'GG'], ['G', 'G'], ['GG', 'GG'], ['P', 'P', 'M'], ['M', 'G', 'M'], ['M', 'GG'], ['G', 'P', 'M'], ['GG', 'GG'], ['M', 'G', 'M'], ['M', 'M', 'G'], ['G', 'M'], ['GG', 'GG'], ['G', 'M', 'P'], ['M', 'GG'], ['M', 'M', 'G'], ['GG', 'M'], ['M', 'M', 'G'], ['M', 'M', 'G'], ['GG', 'M'], ['M', 'GG'], ['M', 'P', 'G'], ['G', 'M', 'M'], ['P', 'P', 'G'], ['GG', 'M'], ['GG', 'M'], ['M', 'M', 'M'], ['P', 'P', 'M'], ['P', 'M', 'M'], ['GG', 'GG'], ['M', 'G', 'P'], ['GG', 'G'], ['M', 'M', 'M'], ['GG', 'GG'], ['M', 'P', 'M'], ['M', 'G', 'M'], ['M', 'P', 'G'], ['M', 'P', 'M'], ['P', 'GG'], ['M', 'GG'], ['GG', 'M'], ['P', 'G'], ['G', 'G'], ['G', 'M', 'M'], ['G', 'P'], ['G', 'M', 'M'], ['M', 'M', 'G'], ['G', 'G'], ['P', 'G', 'M'], ['P', 'GG'], ['GG', 'M'], ['M', 'P', 'G'], ['G', 'M', 'M'], ['G', 'G'], ['G', 'P', 'M'], ['M', 'GG'], ['M', 'G', 'M'], ['M', 'P'], ['GG', 'G'], ['G', 'M', 'P'], ['G', 'M', 'P'], ['GG', 'G'], ['M', 'GG'], ['G', 'P', 'M']]"
500,18.91773819923401,98.49999999999999,2,150,"[['M', 'M', 'G'], ['G', 'M'], ['G', 'M', 'M'], ['GG', 'P'], ['M', 'M', 'M'], ['P', 'G'], ['G', 'GG'], ['G', 'M', 'P'], ['G', 'M'], ['G', 'P'], ['G', 'G'], ['M', 'G'], ['GG', 'M'], ['M', 'G'], ['G', 'M'], ['G', 'P', 'M'], ['G', 'P', 'M'], ['M', 'G', 'M'], ['M', 'G', 'M'], ['M', 'M', 'M'], ['P', 'M', 'M'], ['P', 'P', 'M'], ['GG', 'G'], ['GG', 'GG'], ['GG', 'GG'], ['G', 'G'], ['GG', 'G'], ['M', 'P', 'G'], ['GG', 'M'], ['M', 'G', 'P'], ['G', 'M', 'M'], ['GG', 'G'], ['M', 'M', 'G'], ['GG', 'M'], ['G', 'M', 'P'], ['M', 'M', 'G'], ['G', 'GG'], ['P', 'G', 'P'], ['GG', 'GG'], ['GG', 'P'], ['G', 'P', 'P'], ['GG', 'GG'], ['M', 'M', 'M'], ['M', 'P', 'M'], ['GG', 'GG'], ['M', 'GG'], ['M', 'M', 'M'], ['M', 'GG'], ['G', 'P', 'P'], ['M', 'G', 'M'], ['G', 'GG'], ['GG', 'GG'], ['G', 'GG'], ['M', 'M', 'G'], ['GG', 'GG'], ['P', 'M', 'M'], ['M', 'P', 'M'], ['M', 'G'], ['G', 'GG'], ['GG', 'M'], ['M', 'M', 'G'], ['G', 'M'], ['GG', 'M'], ['M', 'M', 'M'], ['GG', 'M'], ['GG', 'G'], ['M', 'M', 'M'], ['G', 'GG'], ['G', 'GG'], ['G', 'GG'], ['G', 'M'], ['G', 'P', 'M'], ['P', 'G', 'P'], ['GG', 'G'], ['M', 'G'], ['GG', 'GG'], ['M', 'M', 'G'], ['GG', 'GG'], ['GG', 'GG'], ['M', 'M', 'G'], ['M', 'M', 'G'], ['G', 'M'], ['GG', 'GG'], ['M', 'M', 'M'], ['G', 'M', 'M'], ['M', 'G', 'M'], ['P', 'P', 'M'], ['G', 'GG'], ['M', 'GG'], ['M', 'M', 'G'], ['G', 'G'], ['GG', 'M'], ['G', 'GG'], ['P', 'G'], ['GG', 'GG'], ['M', 'P', 'M'], ['P', 'G', 'M'], ['GG', 'M'], ['P', 'P', 'M'], ['GG', 'GG'], ['GG', 'G'], ['GG', 'M'], ['G', 'M'], ['G', 'M', 'P'], ['P', 'P', 'G'], ['M', 'G', 'P'], ['G', 'GG'], ['G', 'G'], ['M', 'P', 'M'], ['P', 'GG'], ['GG', 'G'], ['G', 'G'], ['M', 'P', 'G'], ['M', 'M', 'P'], ['M', 'M', 'M'], ['G', 'GG'], ['P', 'GG'], ['G', 'M', 'P'], ['M', 'M', 'G'], ['GG', 'M'], ['G', 'G'], ['G', 'M', 'P'], ['M', 'G', 'M'], ['M', 'G'], ['G', 'G'], ['M', 'G'], ['GG', 'GG'], ['M', 'M', 'G'], ['GG', 'G'], ['P', 'M', 'M'], ['M', 'G'], ['G', 'M', 'P'], ['P', 'M', 'G'], ['GG', 'GG'], ['M', 'G', 'M'], ['M', 'M', 'G'], ['M', 'M', 'G'], ['M', 'M', 'M'], ['M', 'G'], ['GG', 'GG'], ['M', 'G', 'M'], ['M', 'G', 'M'], ['M', 'M', 'G'], ['M', 'G', 'M'], ['M', 'GG'], ['G', 'P', 'M'], ['M', 'M', 'G'], ['P', 'M', 'M'], ['P', 'M', 'M'], ['M', 'P']]"
1000,35.62516784667969,93.50000000000001,1,149,"[['GG', 'M'], ['GG', 'M'], ['GG', 'GG'], ['G', 'M', 'P'], ['M', 'P', 'G'], ['P', 'G', 'P'], ['G', 'G'], ['G', 'GG'], ['GG', 'GG'], ['GG', 'G'], ['P', 'M'], ['GG', 'G'], ['P', 'M', 'P'], ['G', 'P'], ['GG', 'G'], ['M', 'M', 'M'], ['G', 'M'], ['GG', 'G'], ['G', 'M', 'P'], ['GG', 'M'], ['M', 'M', 'M'], ['M', 'G', 'M'], ['G', 'M', 'P'], ['G', 'P', 'P'], ['M', 'M', 'G'], ['M', 'G', 'P'], ['GG', 'G'], ['G', 'M', 'M'], ['G', 'M', 'P'], ['GG', 'G'], ['G', 'G'], ['P', 'GG'], ['P', 'M', 'P'], ['M', 'G', 'M'], ['P', 'G', 'M'], ['M', 'M', 'P'], ['M', 'M', 'M'], ['GG', 'M'], ['G', 'M', 'M'], ['M', 'G', 'M'], ['P', 'M', 'M'], ['GG', 'G'], ['G', 'GG'], ['G', 'GG'], ['G', 'GG'], ['G', 'M', 'P'], ['M', 'P', 'G'], ['P', 'M', 'M'], ['G', 'G'], ['GG', 'GG'], ['GG', 'G'], ['M', 'M', 'M'], ['M', 'M', 'M'], ['M', 'G', 'M'], ['M', 'P', 'P'], ['G', 'M', 'M'], ['M', 'P', 'G'], ['M', 'M', 'M'], ['M', 'G', 'P'], ['G', 'G'], ['M', 'GG'], ['M', 'G', 'P'], ['M', 'G', 'M'], ['G', 'M', 'M'], ['M', 'G'], ['GG', 'GG'], ['GG', 'GG'], ['G', 'M'], ['G', 'M'], ['GG', 'GG'], ['G', 'M', 'M'], ['G', 'M'], ['GG', 'M'], ['G', 'M', 'M'], ['P', 'G', 'M'], ['G', 'G'], ['P', 'G'], ['GG', 'G'], ['P', 'P', 'G'], ['G', 'GG'], ['G', 'GG'], ['P', 'GG'], ['G', 'P', 'M'], ['G', 'GG'], ['G', 'GG'], ['GG', 'G'], ['G', 'M', 'M'], ['M', 'GG'], ['GG', 'GG'], ['M', 'M', 'G'], ['GG', 'M'], ['M', 'G', 'M'], ['GG', 'GG'], ['G', 'G'], ['M', 'M', 'M'], ['G', 'GG'], ['M', 'GG'], ['P', 'M', 'M'], ['G', 'GG'], ['GG', 'M'], ['M', 'P', 'M'], ['P', 'M', 'M'], ['P', 'G', 'M'], ['G', 'M', 'M'], ['M', 'GG'], ['G', 'G'], ['P', 'G', 'M'], ['M', 'M', 'M'], ['M', 'M', 'M'], ['G', 'M', 'M'], ['P', 'G', 'P'], ['GG', 'M'], ['P', 'M', 'G'], ['G', 'M', 'P'], ['M', 'G', 'M'], ['G', 'M', 'M'], ['G', 'P', 'M'], ['M', 'P', 'M'], ['M', 'M'], ['GG', 'GG'], ['GG', 'GG'], ['GG', 'GG'], ['G', 'GG'], ['M', 'M'], ['GG', 'G'], ['G', 'G'], ['G', 'GG'], ['M', 'M', 'G'], ['G', 'G'], ['GG', 'M'], ['G', 'GG'], ['GG', 'M'], ['GG', 'M'], ['M', 'M', 'P'], ['P', 'M', 'M'], ['GG', 'G'], ['G', 'GG'], ['GG', 'GG'], ['G', 'GG'], ['M', 'M', 'M'], ['G', 'M', 'M'], ['M', 'G', 'M'], ['G', 'GG'], ['M', 'M', 'M'], ['M', 'M', 'P'], ['P', 'M', 'G'], ['GG', 'M'], ['M', 'M', 'P'], ['G', 'M', 'M']]"
1000,36.409082651138306,103.49999999999994,2,151,"[['P', 'M', 'M'], ['M', 'G', 'M'], ['M', 'GG'], ['GG', 'M'], ['M', 'M'], ['GG', 'G'], ['M', 'M', 'P'], ['GG', 'M'], ['P', 'G'], ['G', 'GG'], ['G', 'M'], ['GG', 'GG'], ['GG', 'G'], ['G', 'M'], ['G', 'G'], ['M', 'M', 'P'], ['GG', 'GG'], ['G', 'M', 'M'], ['M', 'G'], ['G', 'G'], ['GG', 'GG'], ['M', 'M', 'G'], ['GG', 'GG'], ['G', 'M', 'M'], ['GG', 'G'], ['G', 'P'], ['G', 'P', 'M'], ['G', 'M', 'M'], ['M', 'M', 'M'], ['M', 'G', 'M'], ['M', 'M', 'G'], ['GG', 'M'], ['M', 'M', 'G'], ['GG', 'GG'], ['G', 'GG'], ['M', 'G'], ['GG', 'GG'], ['GG', 'G'], ['M', 'P', 'M'], ['G', 'GG'], ['GG', 'M'], ['G', 'G'], ['M', 'M', 'P'], ['P', 'GG'], ['GG', 'G'], ['P', 'P', 'M'], ['G', 'GG'], ['M', 'M', 'G'], ['G', 'M'], ['GG', 'G'], ['G', 'M', 'P'], ['G', 'G'], ['G', 'M'], ['GG', 'G'], ['G', 'M', 'M'], ['P', 'GG'], ['M', 'M', 'M'], ['M', 'G', 'M'], ['GG', 'M'], ['GG', 'GG'], ['M', 'M', 'G'], ['M', 'M', 'G'], ['M', 'G', 'M'], ['M', 'GG'], ['M', 'M', 'M'], ['GG', 'M'], ['P', 'M', 'G'], ['M', 'M', 'M'], ['G', 'M', 'M'], ['P', 'G', 'M'], ['GG', 'G'], ['M', 'G', 'M'], ['P', 'G', 'M'], ['G', 'M', 'P'], ['G', 'M', 'P'], ['M', 'M', 'M'], ['P', 'GG'], ['GG', 'G'], ['P', 'G', 'M'], ['M', 'G'], ['G', 'G'], ['GG', 'M'], ['M', 'P', 'M'], ['P', 'M', 'P'], ['M', 'P', 'P'], ['GG', 'G'], ['GG', 'GG'], ['G', 'G'], ['GG', 'M'], ['P', 'G'], ['G', 'M', 'M'], ['M', 'G', 'P'], ['M', 'GG'], ['M', 'M', 'M'], ['M', 'G', 'M'], ['GG', 'M'], ['M', 'G', 'M'], ['P', 'P', 'G'], ['GG', 'G'], ['M', 'M'], ['GG', 'G'], ['GG', 'P'], ['P', 'G'], ['GG', 'P'], ['GG', 'GG'], ['P', 'M', 'P'], ['M', 'M', 'G'], ['M', 'M', 'G'], ['M', 'GG'], ['G', 'GG'], ['P', 'P', 'G'], ['G', 'GG'], ['P', 'M', 'M'], ['P', 'M', 'G'], ['G', 'P', 'M'], ['G', 'P'], ['GG', 'G'], ['M', 'P', 'P'], ['M', 'GG'], ['GG', 'GG'], ['G', 'P'], ['G', 'M'], ['GG', 'GG'], ['M', 'P', 'M'], ['GG', 'P'], ['G', 'GG'], ['G', 'M'], ['G', 'M', 'M'], ['M', 'G', 'M'], ['G', 'G'], ['M', 'GG'], ['GG', 'GG'], ['P', 'G', 'M'], ['M', 'M', 'M'], ['GG', 'G'], ['G', 'M', 'M'], ['M', 'M', 'G'], ['M', 'M', 'G'], ['G', 'M', 'P'], ['GG', 'P'], ['M', 'M', 'G'], ['G', 'M', 'M'], ['G', 'M', 'M'], ['G', 'M', 'M'], ['M', 'GG'], ['M', 'G', 'M'], ['G', 'M', 'M'], ['G', 'M'], ['G', 'P'], ['GG', 'GG'], ['M', 'G', 'P']]"
5000,185.55557441711426,73.50000000000001,1,145,"[['GG', 'GG'], ['G', 'G'], ['G', 'M', 'M'], ['GG', 'M'], ['P', 'P', 'G'], ['M', 'M', 'M'], ['P', 'P', 'M'], ['M', 'G', 'M'], ['GG', 'GG'], ['GG', 'GG'], ['M', 'M', 'G'], ['M', 'M', 'M'], ['G', 'M', 'M'], ['M', 'M', 'M'], ['G', 'G'], ['M', 'G'], ['G', 'P', 'M'], ['M', 'G', 'P'], ['M', 'G', 'M'], ['G', 'M', 'M'], ['P', 'G', 'M'], ['P', 'M'], ['GG', 'GG'], ['G', 'P', 'M'], ['P', 'M', 'P'], ['GG', 'M'], ['G', 'M', 'M'], ['G', 'P', 'M'], ['G', 'GG'], ['GG', 'M'], ['GG', 'G'], ['G', 'M', 'M'], ['G', 'P', 'M'], ['G', 'P', 'P'], ['M', 'M', 'G'], ['M', 'GG'], ['M', 'G', 'M'], ['G', 'GG'], ['G', 'M', 'P'], ['M', 'GG'], ['GG', 'GG'], ['G', 'GG'], ['GG', 'GG'], ['M', 'M', 'G'], ['GG', 'GG'], ['P', 'G'], ['GG', 'G'], ['GG', 'GG'], ['G', 'M', 'M'], ['G', 'M', 'M'], ['P', 'G'], ['G', 'M', 'P'], ['M', 'P', 'G'], ['GG', 'GG'], ['M', 'P', 'G'], ['P', 'M', 'G'], ['G', 'G'], ['G', 'M', 'M'], ['GG', 'M'], ['G', 'P', 'P'], ['M', 'G'], ['GG', 'P'], ['G', 'M', 'M'], ['GG', 'M'], ['M', 'P', 'G'], ['M', 'G', 'M'], ['G', 'M', 'M'], ['M', 'M', 'G'], ['M', 'P', 'G'], ['M', 'G', 'M'], ['M', 'P'], ['GG', 'G'], ['G', 'G'], ['GG', 'P'], ['P', 'M', 'G'], ['G', 'M', 'M'], ['P', 'M', 'M'], ['G', 'M', 'P'], ['M', 'G', 'P'], ['M', 'G'], ['G', 'M', 'M'], ['G', 'M'], ['GG', 'GG'], ['M', 'G', 'M'], ['G', 'GG'], ['M', 'G'], ['G', 'GG'], ['GG', 'GG'], ['GG', 'GG'], ['GG', 'GG'], ['G', 'M', 'M'], ['GG', 'GG'], ['G', 'M', 'M'], ['M', 'GG'], ['GG', 'GG'], ['G', 'G'], ['M', 'P', 'G'], ['M', 'P', 'G'], ['GG', 'GG'], ['M', 'P', 'G'], ['P', 'G', 'P'], ['G', 'M', 'M'], ['M', 'G', 'M'], ['G', 'GG'], ['G', 'M', 'M'], ['M', 'G', 'M'], ['P', 'P', 'G'], ['M', 'M', 'G'], ['M', 'M', 'M'], ['G', 'P', 'P'], ['M', 'M'], ['GG', 'GG'], ['G', 'GG'], ['GG', 'GG'], ['M', 'M', 'M'], ['G', 'M', 'M'], ['G', 'G'], ['M', 'GG'], ['G', 'M', 'M'], ['G', 'M', 'M'], ['M', 'G', 'M'], ['M', 'M', 'G'], ['GG', 'GG'], ['GG', 'M'], ['GG', 'M'], ['M', 'M', 'G'], ['M', 'G', 'P'], ['M', 'G', 'M'], ['M', 'P', 'M'], ['G', 'M', 'M'], ['G', 'GG'], ['G', 'P', 'P'], ['M', 'GG'], ['GG', 'GG'], ['M', 'P'], ['GG', 'GG'], ['M', 'G', 'M'], ['M', 'G', 'M'], ['G', 'GG'], ['M', 'M', 'P'], ['G', 'M', 'M'], ['P', 'M', 'G'], ['GG', 'GG'], ['M', 'M', 'G'], ['P', 'M', 'M']]"
5000,182.48202514648438,93.49999999999996,2,149,"[['M', 'G', 'M'], ['G', 'P', 'M'], ['M', 'G', 'M'], ['P', 'G', 'M'], ['GG', 'G'], ['M', 'G', 'M'], ['P', 'G', 'M'], ['M', 'M', 'G'], ['M', 'M', 'M'], ['G', 'GG'], ['G', 'G'], ['GG', 'P'], ['M', 'P', 'M'], ['G', 'G'], ['G', 'M', 'M'], ['GG', 'M'], ['G', 'GG'], ['G', 'GG'], ['GG', 'G'], ['GG', 'G'], ['GG', 'G'], ['GG', 'P'], ['G', 'M', 'M'], ['G', 'GG'], ['M', 'GG'], ['M', 'G', 'M'], ['M', 'M', 'M'], ['G', 'M'], ['GG', 'M'], ['GG', 'GG'], ['G', 'G'], ['GG', 'GG'], ['GG', 'GG'], ['GG', 'M'], ['M', 'M', 'G'], ['P', 'P', 'M'], ['G', 'M', 'M'], ['P', 'G', 'P'], ['P', 'M', 'P'], ['G', 'G'], ['G', 'P', 'M'], ['GG', 'GG'], ['GG', 'GG'], ['GG', 'G'], ['M', 'M', 'G'], ['G', 'P'], ['G', 'P'], ['GG', 'P'], ['GG', 'GG'], ['GG', 'G'], ['GG', 'P'], ['M', 'GG'], ['M', 'GG'], ['GG', 'G'], ['M', 'M'], ['GG', 'GG'], ['P', 'M', 'P'], ['M', 'M', 'M'], ['G', 'M'], ['G', 'P', 'P'], ['M', 'G', 'M'], ['M', 'P', 'M'], ['M', 'M', 'G'], ['G', 'G'], ['G', 'G'], ['G', 'P'], ['GG', 'G'], ['P', 'G', 'P'], ['M', 'M', 'M'], ['G', 'G'], ['M', 'M', 'G'], ['M', 'M', 'G'], ['M', 'G', 'M'], ['M', 'M', 'G'], ['P', 'M', 'G'], ['M', 'M', 'M'], ['M', 'M', 'P'], ['M', 'P', 'P'], ['G', 'M'], ['G', 'M'], ['G', 'M', 'P'], ['GG', 'GG'], ['G', 'M'], ['GG', 'G'], ['M', 'P', 'M'], ['GG', 'G'], ['G', 'G'], ['M', 'M', 'G'], ['M', 'M', 'G'], ['M', 'M', 'P'], ['M', 'M', 'M'], ['M', 'M', 'G'], ['M', 'G', 'M'], ['M', 'M', 'P'], ['M', 'M', 'G'], ['G', 'M', 'P'], ['M', 'P', 'P'], ['P', 'M', 'G'], ['G', 'GG'], ['P', 'M', 'G'], ['M', 'M', 'M'], ['GG', 'GG'], ['M', 'G'], ['G', 'M', 'P'], ['M', 'M', 'G'], ['P', 'M', 'G'], ['P', 'M', 'G'], ['M', 'M', 'M'], ['P', 'M', 'G'], ['M', 'M', 'G'], ['GG', 'G'], ['M', 'G', 'M'], ['M', 'M', 'M'], ['M', 'M', 'G'], ['GG', 'M'], ['GG', 'G'], ['GG', 'G'], ['G', 'M', 'M'], ['P', 'G', 'P'], ['GG', 'GG'], ['GG', 'G'], ['M', 'GG'], ['GG', 'M'], ['GG', 'G'], ['M', 'P'], ['GG', 'G'], ['M', 'M', 'M'], ['M', 'P', 'G'], ['GG', 'GG'], ['M', 'G'], ['G', 'M', 'M'], ['M', 'M', 'M'], ['M', 'GG'], ['GG', 'GG'], ['GG', 'M'], ['G', 'GG'], ['M', 'P', 'G'], ['M', 'M', 'M'], ['G', 'P', 'M'], ['GG', 'GG'], ['M', 'M', 'G'], ['GG', 'G'], ['GG', 'GG'], ['P', 'M', 'G'], ['GG', 'G'], ['M', 'GG'], ['G', 'M'], ['GG', 'M'], ['GG', 'P']]"
